canonical_len_ratio,canonical_similarity,cc_avg_diff,cc_max_diff,common_imports,common_subtrees,exact_match,func_count_diff,func_count_ratio,ident_jaccard,import_count_diff,import_jaccard,loc_avg,loc_diff,loc_ratio,node_hist_cosine,node_hist_jaccard,subtree_count_diff,subtree_hash_jaccard,is_plagiarized,file1,file2
0.29328327075511057,0.4425806451612903,2.0,1.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.058823529411764705,4.0,0.0,62.5,53.0,0.4044943820224719,0.9606754619347311,0.5294117647058824,2.0,0.0,0,code_orig_35.py,code_trans_35.py
0.9861163227016886,0.9344417154732666,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,99.0,0.0,1.0,1.0000000000000002,1.0,0.0,0.09090909090909091,1,code_orig_36.py,code_trans_36.py
0.3634219216857997,0.6122281493639721,0.10000000000000009,1.0,0.0,0.0,0.0,0.0,1.0,0.08108108108108109,1.0,0.0,162.0,126.0,0.44,0.8871557954738689,0.5217391304347826,4.0,0.0,1,code_orig_37.py,code_trans_37.py
0.5282846715328468,0.5462686567164179,0.6666666666666665,1.0,0.0,0.0,0.0,5.0,0.2857142857142857,0.06666666666666667,1.0,0.0,71.0,44.0,0.5268817204301075,0.9722677977084495,0.54,10.0,0.0,1,code_orig_38.py,code_trans_38.py
0.9636238846945779,0.7836420831876966,0.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,2.0,0.0,72.0,4.0,0.9459459459459459,0.9579133024270812,0.6486486486486487,4.0,0.0,0,code_orig_39.py,code_trans_39.py
0.6903493191237419,0.6669001751313485,1.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.03571428571428571,0.0,0.0,60.0,30.0,0.6,0.9465727788593019,0.47368421052631576,4.0,0.0,0,code_orig_40.py,code_trans_40.py
0.5164298401420959,0.6623718887262079,1.5,1.0,1.0,1.0,0.0,1.0,0.5,0.2222222222222222,0.0,1.0,67.5,49.0,0.4673913043478261,0.9783699913229386,0.5806451612903226,2.0,0.14285714285714285,1,code_orig_41.py,code_trans_41.py
0.7793880837359098,0.7951734539969834,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.14814814814814814,1.0,0.5,66.0,8.0,0.8857142857142857,0.968563098939007,0.5714285714285714,2.0,0.0,1,code_orig_42.py,code_trans_42.py
0.3582926388135287,0.5486320011459677,3.0,0.0,1.0,0.0,0.0,5.0,0.16666666666666666,0.02702702702702703,3.0,0.16666666666666666,135.0,122.0,0.37755102040816324,0.9220785863888177,0.6046511627906976,5.0,0.0,0,code_orig_43.py,code_trans_43.py
0.8355053576600058,0.8002524455664247,4.333333333333333,3.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.08108108108108109,3.0,0.0,119.0,30.0,0.7761194029850746,0.9680703455108939,0.625,5.0,0.0,0,code_orig_44.py,code_trans_44.py
0.24471403812824957,0.38540796435533275,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,1.0,0.0,70.5,67.0,0.3557692307692308,0.9580227863574237,0.4411764705882353,8.0,0.0,0,code_orig_45.py,code_trans_45.py
0.9840425531914894,0.8574963910084553,3.5,8.0,0.0,0.0,0.0,1.0,0.75,0.18181818181818182,1.0,0.0,108.5,1.0,0.9908256880733946,0.9902350803613712,0.4666666666666667,5.0,0.0,0,code_orig_46.py,code_trans_46.py
0.3473376769265334,0.4832416208104052,3.8,14.0,0.0,0.0,0.0,3.0,0.4,0.06451612903225806,1.0,0.0,134.0,150.0,0.2822966507177033,0.8811416603348966,0.42592592592592593,12.0,0.0,0,code_orig_47.py,code_trans_47.py
0.9988200589970502,0.999409681227863,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,66.0,2.0,0.9701492537313433,1.0,1.0,0.0,0.6666666666666666,1,code_orig_48.py,code_trans_48.py
0.20808510638297872,0.3402606551602677,0.3333333333333335,4.0,0.0,0.0,0.0,5.0,0.16666666666666666,0.0,6.0,0.0,68.5,81.0,0.25688073394495414,0.9002454605124147,0.3877551020408163,12.0,0.0,0,code_orig_49.py,code_trans_49.py
0.6986681465038845,0.7147990852662529,5.0,3.0,1.0,0.0,0.0,1.0,0.5,0.0967741935483871,0.0,1.0,68.5,7.0,0.9027777777777778,0.9587415487624648,0.5,1.0,0.0,0,code_orig_50.py,code_trans_50.py
